OBJECTID,CSA2010,tpop10,male10,female10,paa17,pwhite17,pasi17,p2more17,ppac17,phisp17,racdiv17,age5_17,age18_17,age24_17,age64_17,age65_17,hhs10,femhhs17,fam17,hhsize10,mhhi17,hh25inc17,hh40inc17,hh60inc17,hh75inc17,hhm7517,hhpov17,hhchpov17,Shape__Area,Shape__Length
11,Cross-Country/Cheswolde,12928,5913,7015,19.9334777227722,73.4065594059406,3.37252475247524,0.123762376237623,0.502784653465346,2.66089108910891,41.6392589958586,9.81590346534653,16.6150990099009,9.56837871287128,44.840655940594,19.1599628712871,5341,18.4,27.6548672566371,2.44,56167.0479041916,18.7851971037811,18.0410297666934,15.7481898632341,11.5848753016894,35.8407079646017,9.89412194231471,13.0254588513913,38222018.3164673,26788.3018783838
12,Dickeyville/Franklintown,3731,1563,2168,80.5950147413562,9.54167783436076,1.66175288126507,5.60171535781291,0.804073974805682,1.79576521039935,36.3537990384746,14.8485660680782,9.11283838113106,10.0241222192441,54.4358080943446,11.5786652372018,1877,68.8372093023255,24.7126436781609,2.18,41463.1219512195,38.103448275862,9.82758620689655,19.2528735632183,8.73563218390804,24.0804597701149,17.408906882591,34.4519015659955,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,11682,5354,6328,95.9510357815442,1.07002225646293,0.171203561034069,1.47235062489299,0.350967300119842,0.984420475945899,9.6871048239469,6.36021229241568,17.8308508816983,6.72829994863893,51.3525081321691,17.7281287450778,4565,64.6103896103896,28.9746001881467,2.58,43640.5760869565,27.5399811853245,19.3085606773283,18.6735653809971,7.73753527751646,26.7403574788334,17.4451097804391,43.4927697441601,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,6533,3401,3132,29.0218888718812,43.9614266033981,16.2559314250727,1.60722485841114,4.19409153528241,4.95943670595438,69.3225209912781,1.72968008571865,3.53589468850451,18.4754324200214,71.2689422929741,4.99005051278126,3676,73.2718894009216,6.1490507225843,1.55,53762.8745583038,28.875035420799,8.84103145366959,17.285349957495,14.9334088977047,30.0651742703315,6.81818181818181,13.3720930232558,20736554.4064941,21565.859394559
15,Edmondson Village,8160,3794,4366,95.7598039215686,1.34803921568627,0,0.79656862745098,0.784313725490196,1.31127450980392,8.3755958416225,7.45098039215686,16.1151960784313,9.10539215686274,51.6789215686274,15.6495098039215,2875,62.2129436325678,33.7205209433298,2.72,41642.113372093,24.6392115452305,23.3720520943329,25.0967969024991,10.0668778599084,16.8250615980288,8.88773388773388,25.2805986103687,23563061.0443115,21504.551357829
16,Fells Point,9214,4517,4697,5.57846754938137,73.3883221185153,5.4699370523117,4.16757108747558,0.358150640329932,11.0375515519861,46.1808176678112,5.4699370523117,4.20013023659648,4.91643151725634,77.9574560451486,7.45604514868678,4717,20.0381679389313,11.6912092815707,2,91207.1669626998,12.6729138777331,7.4074074074074,10.2632753235162,11.5127175368139,58.1436858545292,3.26354679802955,7.33634311512415,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,10156,4555,5601,95.0571090980701,2.11697518708152,0.0590783773139031,1.69358014966522,0.0492319810949192,1.02402520677432,10.8338302421146,6.67585663647105,15.9314690823158,7.6801890508074,54.6474990153603,15.0649862150452,3943,70.9613478691774,25.4540867810292,2.47,42499.5,29.6417759838546,18.188698284561,18.3400605449041,9.38446014127144,24.4450050454086,19.2626728110599,47.6504172156346,37200535.0296631,36886.8997811279
18,Glen-Fallstaff,15914,7215,8699,63.0639688324745,28.503204725399,1.57722759834108,1.57094382304888,0.785471911524443,4.49918310921201,54.1580426099137,7.11323363076536,18.3988940555485,6.42830212391604,50.3518914163629,17.707678773407,6414,42.7774333539987,25.1991876269332,2.32,40869.826,33.9946883299484,15.325730354632,16.0912357444149,9.02983908764255,25.5585064833619,17.7639383155397,27.4006418168353,46995477.4781494,48549.0046179293
19,Greater Charles Village/Barclay,16359,8438,7921,33.443364508833,44.5626260773885,12.0789779326364,3.72883428082401,0.996393422580842,5.18980377773702,67.0749759064626,3.94889663182346,6.30845406198422,29.5739348370927,52.1853414022862,7.98337306681337,7040,41.871921182266,12.679575265459,1.98,39097.2196078431,35.7745159275452,14.943785134291,17.1923797626483,6.1367895065584,25.9525296689569,18.9914163090128,40.3692307692307,27051213.4559937,26454.2692113332
20,Greater Govans,10725,4684,6041,90.013986013986,6.68531468531468,0.0932400932400932,1.14685314685314,0.111888111888111,1.94871794871794,20.5321094183317,8.27039627039627,16.2237762237762,7.66433566433566,52.2424242424242,15.5990675990675,4073,63.4599156118143,29.5363908275174,2.61,41249.75,28.2901296111665,20.3389830508474,17.9461615154536,11.6400797607178,21.7846460618145,19.5322650498051,47.2407045009784,22698495.7178955,22982.125714974
